[DEBUG] 2021-02-27 19-02-19.898 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2021-02-27 19-02-19.904 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2021-02-27 19-02-19.908 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2021-02-27 19-02-19.974 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2021-02-27 19-02-19.975 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2021-02-27 19-02-20.120 [main] LocalXmlResourceResolver - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2021-02-27 19-02-20.121 [main] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2021-02-27 19-02-20.125 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2021-02-27 19-02-20.342 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2021-02-27 19-02-20.361 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2021-02-27 19-02-20.362 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2021-02-27 19-02-20.380 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2021-02-27 19-02-20.410 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@36a6bea6
[DEBUG] 2021-02-27 19-02-20.410 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@36a6bea6
[DEBUG] 2021-02-27 19-02-20.411 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@36a6bea6
[DEBUG] 2021-02-27 19-02-20.411 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@a62c7cd
[DEBUG] 2021-02-27 19-02-20.411 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@7903d448
[DEBUG] 2021-02-27 19-02-20.412 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@1f0b3cfe
[DEBUG] 2021-02-27 19-02-20.413 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@858d8b4
[DEBUG] 2021-02-27 19-02-20.413 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@858d8b4
[DEBUG] 2021-02-27 19-02-20.413 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@858d8b4
[DEBUG] 2021-02-27 19-02-20.414 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@312b34e3
[DEBUG] 2021-02-27 19-02-20.414 [main] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@312b34e3
