[DEBUG] 2021-03-06 14-35-19.663 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2021-03-06 14-35-19.669 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2021-03-06 14-35-19.673 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2021-03-06 14-35-19.740 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2021-03-06 14-35-19.742 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2021-03-06 14-35-19.887 [main] LocalXmlResourceResolver - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2021-03-06 14-35-20.319 [main] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2021-03-06 14-35-20.323 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2021-03-06 14-35-20.545 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2021-03-06 14-35-20.565 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2021-03-06 14-35-20.566 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2021-03-06 14-35-20.584 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2021-03-06 14-35-20.615 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@15400fff
[DEBUG] 2021-03-06 14-35-20.615 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@15400fff
[DEBUG] 2021-03-06 14-35-20.615 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@15400fff
[DEBUG] 2021-03-06 14-35-20.616 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@77774571
[DEBUG] 2021-03-06 14-35-20.616 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@2f1d0bbc
[DEBUG] 2021-03-06 14-35-20.617 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@4b200971
[DEBUG] 2021-03-06 14-35-20.618 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@4f0f7849
[DEBUG] 2021-03-06 14-35-20.618 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@4f0f7849
[DEBUG] 2021-03-06 14-35-20.618 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@4f0f7849
[DEBUG] 2021-03-06 14-35-20.618 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@3c3a0032
[DEBUG] 2021-03-06 14-35-20.619 [main] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@3c3a0032
[DEBUG] 2021-03-06 14-35-20.619 [main] BasicTypeRegistry - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@3c3a0032
[DEBUG] 2021-03-06 14-35-20.620 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@a451491
[DEBUG] 2021-03-06 14-35-20.620 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@a451491
[DEBUG] 2021-03-06 14-35-20.620 [main] BasicTypeRegistry - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@a451491
[DEBUG] 2021-03-06 14-35-20.621 [main] BasicTypeRegistry - Adding type registration integer -> org.hibernate.type.IntegerType@53e800f9
[DEBUG] 2021-03-06 14-35-20.621 [main] BasicTypeRegistry - Adding type registration int -> org.hibernate.type.IntegerType@53e800f9
[DEBUG] 2021-03-06 14-35-20.621 [main] BasicTypeRegistry - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@53e800f9
[DEBUG] 2021-03-06 14-35-20.622 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@524a076e
[DEBUG] 2021-03-06 14-35-20.622 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@524a076e
[DEBUG] 2021-03-06 14-35-20.622 [main] BasicTypeRegistry - Adding type registration java.lang.Long -> org.hibernate.type.LongType@524a076e
[DEBUG] 2021-03-06 14-35-20.623 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@6cc86152
[DEBUG] 2021-03-06 14-35-20.623 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@6cc86152
[DEBUG] 2021-03-06 14-35-20.623 [main] BasicTypeRegistry - Adding type registration java.lang.Float -> org.hibernate.type.FloatType@6cc86152
[DEBUG] 2021-03-06 14-35-20.624 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@522bf64e
[DEBUG] 2021-03-06 14-35-20.624 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@522bf64e
[DEBUG] 2021-03-06 14-35-20.624 [main] BasicTypeRegistry - Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@522bf64e
[DEBUG] 2021-03-06 14-35-20.625 [main] BasicTypeRegistry - Adding type registration big_decimal -> org.hibernate.type.BigDecimalType@2e66bc32
[DEBUG] 2021-03-06 14-35-20.625 [main] BasicTypeRegistry - Adding type registration java.math.BigDecimal -> org.hibernate.type.BigDecimalType@2e66bc32
[DEBUG] 2021-03-06 14-35-20.626 [main] BasicTypeRegistry - Adding type registration big_integer -> org.hibernate.type.BigIntegerType@77b919a3
[DEBUG] 2021-03-06 14-35-20.627 [main] BasicTypeRegistry - Adding type registration java.math.BigInteger -> org.hibernate.type.BigIntegerType@77b919a3
[DEBUG] 2021-03-06 14-35-20.627 [main] BasicTypeRegistry - Adding type registration string -> org.hibernate.type.StringType@32e54a9d
[DEBUG] 2021-03-06 14-35-20.628 [main] BasicTypeRegistry - Adding type registration java.lang.String -> org.hibernate.type.StringType@32e54a9d
[DEBUG] 2021-03-06 14-35-20.628 [main] BasicTypeRegistry - Adding type registration nstring -> org.hibernate.type.StringNVarcharType@1cd3b138
[DEBUG] 2021-03-06 14-35-20.628 [main] BasicTypeRegistry - Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@a098d76
[DEBUG] 2021-03-06 14-35-20.629 [main] BasicTypeRegistry - Adding type registration url -> org.hibernate.type.UrlType@599e4d41
[DEBUG] 2021-03-06 14-35-20.629 [main] BasicTypeRegistry - Adding type registration java.net.URL -> org.hibernate.type.UrlType@599e4d41
[DEBUG] 2021-03-06 14-35-20.630 [main] BasicTypeRegistry - Adding type registration Duration -> org.hibernate.type.DurationType@296e281a
[DEBUG] 2021-03-06 14-35-20.630 [main] BasicTypeRegistry - Adding type registration java.time.Duration -> org.hibernate.type.DurationType@296e281a
[DEBUG] 2021-03-06 14-35-20.638 [main] BasicTypeRegistry - Adding type registration Instant -> org.hibernate.type.InstantType@23f3da8b
